Dataset,Horizon,Model,MSE,MAE
Electricity,96,Reformer,0.993,0.784
Electricity,192,Reformer,0.938,0.753
Electricity,336,Reformer,0.925,0.745
Electricity,720,Reformer,1.004,0.790
Electricity,Avg,Reformer,0.965,0.768
Traffic,96,RDTU,0.405,0.288
Traffic,192,RDTU,0.412,0.292
Traffic,336,RDTU,0.424,0.306
Traffic,720,RDTU,0.463,0.325
Traffic,Avg,RDTU,0.426,0.303
Traffic,96,Time-LLM,0.418,0.291
Traffic,192,Time-LLM,0.414,0.296
Traffic,336,Time-LLM,0.421,0.311
Traffic,720,Time-LLM,0.462,0.327
Traffic,Avg,Time-LLM,0.429,0.306
Traffic,96,GPT4TS,0.414,0.297
Traffic,192,GPT4TS,0.426,0.301
Traffic,336,GPT4TS,0.434,0.303
Traffic,720,GPT4TS,0.487,0.337
Traffic,Avg,GPT4TS,0.440,0.310
Traffic,96,DLinear,0.419,0.298
Traffic,192,DLinear,0.434,0.305
Traffic,336,DLinear,0.449,0.313
Traffic,720,DLinear,0.484,0.336
Traffic,Avg,DLinear,0.447,0.313
Traffic,96,PatchTST,0.403,0.289
Traffic,192,PatchTST,0.415,0.296
Traffic,336,PatchTST,0.426,0.304
Traffic,720,PatchTST,0.474,0.331
Traffic,Avg,PatchTST,0.430,0.305
Traffic,96,TimesNet,0.719,0.416
Traffic,192,TimesNet,0.748,0.428
Traffic,336,TimesNet,0.853,0.471
Traffic,720,TimesNet,1.485,0.825
Traffic,Avg,TimesNet,0.951,0.535
Traffic,96,FEDformer,0.639,0.400
Traffic,192,FEDformer,0.637,0.416
Traffic,336,FEDformer,0.655,0.427
Traffic,720,FEDformer,0.722,0.456
Traffic,Avg,FEDformer,0.663,0.425
Traffic,96,Autoformer,0.672,0.405
Traffic,192,Autoformer,0.727,0.424
Traffic,336,Autoformer,0.749,0.454
Traffic,720,Autoformer,0.847,0.499
Traffic,Avg,Autoformer,0.749,0.446
Traffic,96,Stationary,1.412,0.802
Traffic,192,Stationary,1.419,0.806
