Dataset,Horizon,Model,MSE,MAE
Weather,336,CycleNet,0.260,0.293
Weather,720,CycleNet,0.328,0.339
Weather,Avg,CycleNet,0.242,0.278
Weather,96,TimesNet,0.172,0.220
Weather,192,TimesNet,0.219,0.261
Weather,336,TimesNet,0.280,0.306
Weather,720,TimesNet,0.365,0.359
Weather,Avg,TimesNet,0.259,0.287
Weather,96,DLinear,0.176,0.237
Weather,192,DLinear,0.220,0.282
Weather,336,DLinear,0.265,0.319
Weather,720,DLinear,0.333,0.362
Weather,Avg,DLinear,0.249,0.300
Weather,96,FEDformer,0.217,0.296
Weather,192,FEDformer,0.276,0.336
Weather,336,FEDformer,0.339,0.380
Weather,720,FEDformer,0.403,0.428
Weather,Avg,FEDformer,0.309,0.360
Traffic,96,RDTU,0.358,0.235
Traffic,192,RDTU,0.375,0.248
Traffic,336,RDTU,0.388,0.256
Traffic,720,RDTU,0.435,0.280
Traffic,Avg,RDTU,0.389,0.255
Traffic,96,GPT4TS,0.396,0.264
Traffic,192,GPT4TS,0.412,0.268
Traffic,336,GPT4TS,0.421,0.273
Traffic,720,GPT4TS,0.455,0.291
Traffic,Avg,GPT4TS,0.421,0.274
Traffic,96,Time-LLM,0.392,0.267
Traffic,192,Time-LLM,0.409,0.271
Traffic,336,Time-LLM,0.434,0.296
Traffic,720,Time-LLM,0.451,0.291
Traffic,Avg,Time-LLM,0.422,0.281
Traffic,96,DMMV-A,0.344,0.237
Traffic,192,DMMV-A,0.363,0.249
Traffic,336,DMMV-A,0.387,0.256
Traffic,720,DMMV-A,0.433,0.284
Traffic,Avg,DMMV-A,0.389,0.257
Traffic,96,Time-VLM,0.393,0.290
Traffic,192,Time-VLM,0.405,0.296
Traffic,336,Time-VLM,0.420,0.305
Traffic,720,Time-VLM,0.459,0.323
Traffic,Avg,Time-VLM,0.419,0.304
Traffic,96,VisionTS,0.346,0.232
Traffic,192,VisionTS,0.376,0.245
Traffic,336,VisionTS,0.389,0.252
Traffic,720,VisionTS,0.432,0.293
Traffic,Avg,VisionTS,0.386,0.256
Traffic,96,PatchTST,0.360,0.249
Traffic,192,PatchTST,0.379,0.256
Traffic,336,PatchTST,0.392,0.264
Traffic,720,PatchTST,0.432,0.286
Traffic,Avg,PatchTST,0.391,0.264
Traffic,96,CycleNet,0.397,0.278
Traffic,192,CycleNet,0.411,0.283
Traffic,336,CycleNet,0.424,0.289
Traffic,720,CycleNet,0.450,0.305
Traffic,Avg,CycleNet,0.421,0.289
Traffic,96,TimesNet,0.593,0.321
Traffic,192,TimesNet,0.617,0.336
Traffic,336,TimesNet,0.629,0.336
Traffic,720,TimesNet,0.640,0.350
Traffic,Avg,TimesNet,0.620,0.336
Traffic,96,DLinear,0.410,0.282
Traffic,192,DLinear,0.423,0.287
Traffic,336,DLinear,0.436,0.296
Traffic,720,DLinear,0.466,0.315
Traffic,Avg,DLinear,0.434,0.295
Traffic,96,FEDformer,0.587,0.366
Traffic,192,FEDformer,0.604,0.373
Traffic,336,FEDformer,0.621,0.383
Traffic,720,FEDformer,0.626,0.382
Traffic,Avg,FEDformer,0.610,0.376
